teacher_id,teacher_name,primary_subject,gender,total_periods_assigned,max_capacity,utilization_rate
T055,Mansour Al-Rashid,science,Male,19,24,79.16666666666666
T041,Abdullah Al-Masri,science,Male,14,24,58.333333333333336
T042,Abdulaziz Abu Hamid,arabic,Male,24,24,100.0
T046,Turki Fathy,arabic,Male,24,24,100.0
T039,Bilal Al-Tamimi,english,Male,12,24,50.0
T057,Ahmed Kassab,english,Male,12,24,50.0
T054,Hamad Qudsi,history,Male,6,24,25.0
T058,Mohamed Al-Qahtani,geography,Male,6,24,25.0
T001,Ahmed El-Sayed,library,Male,10,24,41.66666666666667
T007,Ali Al-Qahtani,french,Male,12,24,50.0
T021,Yazan Ismail,art,Male,20,24,83.33333333333334
T043,Abdulrahman Fahmy,social,Male,5,24,20.833333333333336
T031,Adel Saad,chinese,Male,12,24,50.0
T003,Mahmoud Qudsi,library,Male,11,24,45.83333333333333
T019,Sherif Al-Qudah,art,Male,12,24,50.0
T033,Fadi Al-Ahmad,music,Male,13,24,54.166666666666664
T067,Karim Abdelrahman,math,Male,22,24,91.66666666666666
T045,Salman Ibrahim,science,Male,7,24,29.166666666666668
T050,Bandar Rahman,islamic,Male,24,24,100.0
T056,Sultan Najm,islamic,Male,24,24,100.0
T076,Nader Al-Qaisi,english,Male,13,24,54.166666666666664
T061,Mostafa Barghouti,history,Male,6,24,25.0
T087,Adel Al-Faisal,geography,Male,6,24,25.0
T005,Mostafa Najm,library,Male,10,24,41.66666666666667
T009,Hassan Ashour,french,Male,13,24,54.166666666666664
T023,Laith Hassan,art,Male,23,24,95.83333333333334
T051,Fahd Al-Mutairi,social,Male,5,24,20.833333333333336
T013,Amr Abu Hassan,pe,Male,9,24,37.5
T027,Nidal Sabri,computer,Male,19,24,79.16666666666666
T035,Hamza Sabbagh,music,Male,12,24,50.0
T071,Ashraf Abu Zaid,science,Male,22,24,91.66666666666666
T059,Mahmoud Al-Ghamdi,science,Male,7,24,29.166666666666668
T075,Sherif Gamal,arabic,Male,24,24,100.0
T084,Samir Al-Ahmad,islamic,Male,24,24,100.0
T081,Fares Al-Harbi,english,Male,13,24,54.166666666666664
T096,Qasem Ibrahim,english,Male,13,24,54.166666666666664
T093,Anas Abu Hamid,history,Male,6,24,25.0
T104,Nawaf Shawky,geography,Male,6,24,25.0
T011,Karim Salem,french,Male,14,24,58.333333333333336
T025,Fares Al-Qaisi,computer,Male,12,24,50.0
T064,Khaled Abu Hassan,social,Male,5,24,20.833333333333336
T015,Ashraf Al-Anazi,pe,Male,9,24,37.5
T029,Rami Al-Otaibi,computer,Male,21,24,87.5
T037,Anas Al-Zahrani,music,Male,14,24,58.333333333333336
T080,Murad Al-Otaibi,math,Male,21,24,87.5
T066,Ibrahim Al-Anazi,science,Male,7,24,29.166666666666668
T085,Rami Al-Khatib,arabic,Male,24,24,100.0
T088,Majed Al-Zahrani,islamic,Male,24,24,100.0
T099,Abdulrahman Al-Shammari,english,Male,14,24,58.333333333333336
T113,Ahmed Salem,history,Male,6,24,25.0
T115,Mahmoud Abu Hassan,history,Male,6,24,25.0
T082,Ziad Saad,social,Male,5,24,20.833333333333336
T017,Alaa Al-Najjar,pe,Male,9,24,37.5
T101,Salman Rahman,science,Male,22,24,91.66666666666666
T077,Yazan Al-Omari,science,Male,7,24,29.166666666666668
T129,Alaa Sabri,arabic,Male,19,24,79.16666666666666
T126,Hany Gamal,islamic,Male,24,24,100.0
T102,Turki Al-Mutairi,english,Male,13,24,54.166666666666664
